Artist,Current Songs,Next Wave Qualified Additions,Songs After Qualified Wave If Released,Active Catalog Gain This Wave,Initial Candidate Songs,Still Awaiting Parse and QA,Skipped Already Current,Unavailable Sources,Held Chord or Transpose,Current Artist Present,New Artist in Qualified Wave,Qualified Song Titles,Wave Status,Wave ID,Git Branch,Baseline App Commit
3 Doors Down,9,0,9,0,6,5,1,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
38 Special,3,0,3,0,2,2,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
4 Non Blondes,1,0,1,0,0,0,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
A Flock of Seagulls,2,0,2,0,0,0,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
A-Ha,2,0,2,0,1,1,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
ABBA,23,0,23,0,4,4,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
AC|DC,63,0,63,0,36,36,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Aimee Mann,1,0,1,0,0,0,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Alanis Morissette,2,0,2,0,1,1,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Alien Ant Farm,4,0,4,0,3,3,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Alison Krauss,1,0,1,0,0,0,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Allen Toussaint,0,0,0,0,0,0,0,0,0,No,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Amy Winehouse,8,0,8,0,1,1,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Archie Bell and the Drells,0,0,0,0,1,1,0,0,0,No,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Arctic Monkeys,79,0,79,0,11,9,2,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Aretha Franklin,4,0,4,0,0,0,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Ariana Grande,24,0,24,0,9,6,3,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Attila,13,0,13,0,0,0,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Audioslave,11,0,11,0,6,6,0,0,0,Yes,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
Average White Band,0,0,0,0,1,1,0,0,0,No,0,,STAGED_NOT_RELEASED,GFB-V6.0-CATALOG-R03,build/gfb-v6.0-catalog-r03-2026-09-22,0bf10064a8597ab1ea29bc0515815956fea50e0b
