Artist,Song,Row Type,Status,Current Catalog Entry,Qualified Next Wave Addition,Active Catalog Gain This Wave,Song or Source ID,Format,Key,Chord Count,Transpose Checks,Reason,Git Payload Path,Source Archive,Source Path,Wave ID
3 Doors Down,Away from the Sun *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,a2a8637d0a56643da1c323eea593757416f0098b94a8c3a9766ae3821e50ccc1,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,Be Like That *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,3f68c5c2abe82f83ce50c9021bf8a271801c09df6d9762e43f7c3e7a48b85575,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,Here without you *alt 2,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,e9aa1ef817f85946238a557fc7adf641afdf074b48801cdefc1a001c02cd4e5f,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,It's not my time,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,a3c9238776f8e4f473414977fe2663394696fd0e5287e4e74e0a720e80d666e8,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,Kryptonite *alt 3,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,dc665183fe0031f8be8c02717c15fc68d17e2abe5cf898ee7c8d3c5eda0d1b15,gpx,Bm,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,Landing In London,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,36418edbcdfea6d41dd378a6b5ed7645b8a8eb189af16db3485663832b2c3f4e,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,Let me be myself,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,8faf7d5dbe4e9caf53b7b4c82f0803d542ab002e1be79a748745852d58d8b1c2,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,Still Alive,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,db3ce37e2c50c67186b07e7547155633b3c4acba055a09b10ae7fac38d09a460,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,When I'm Gone *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,5bd59e06defceb04d457f5ed2d854f066d1a4e021990f35c8fb83a77ebb31ea7,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
3 Doors Down,By My Side (2),CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,616e460b23698e197ede608c6733e00c2474e1a911000e0ba13dbdfb1bbc6e1c,gp3,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/3 Doors Down - By My Side (2).gp3,GFB-V6.0-CATALOG-R03
3 Doors Down,Duck And Run,CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,af8f62beb8ee2972088330f00ee17cd8506dc26dd0b610a9782bb89543517270,gp3,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/3 Doors Down - Duck And Run.gp3,GFB-V6.0-CATALOG-R03
