Artist,Current V4 songs,Approved gain,After publication
AC DC,63,4,67
Alanis Morissette,2,1,3
Arctic Monkeys,79,6,85
Ariana Grande,24,6,30
Audioslave,11,1,12
Avril Lavigne,25,1,26
Backstreet Boys,2,1,3
Bad Company,6,1,7
Barenaked Ladies,1,2,3
Beatles,193,5,198
Bill Withers,5,1,6
Billy Idol,4,1,5
Billy Squier,2,1,3
Black Eyed Peas,4,2,6
Bob Dylan,28,2,30
Bob Marley,4,4,8
Bon Jovi,17,1,18
Bruce Springsteen,15,1,16
Bryan Adams,9,2,11
Buck Owens,0,1,1
Buddy Guy,1,1,2
Butthole Surfers,0,1,1
Cage The Elephant,26,3,29
Cake,4,1,5
Champs,1,9,10
Cheap Trick,3,1,4
Chic,1,1,2
Chris Isaak,1,2,3
Chris Stapleton,14,3,17
Christy Moore,0,1,1
Chuck Berry,7,1,8
Coldplay,32,4,36
Creedance Clearwater Revival,1,1,2
"Crosby, Stills, Nash & Young",5,1,6
Crowded House,4,1,5
Deep Purple,10,1,11
Def Leppard,15,1,16
Depeche Mode,6,2,8
Diana Ross,0,1,1
Dolly Parton,1,2,3
Eagles,22,1,23
"Earth, Wind & Fire",3,1,4
Eddie Money,1,2,3
Elton John,17,1,18
Elvis Presley,23,4,27
Eminem,14,1,15
Eric Clapton,22,5,27
Fitz And The Tantrum,1,1,2
Fleetwood Mac,14,5,19
Frank Sinatra,6,1,7
Frank Zappa,2,1,3
Grateful Dead,14,3,17
Guns N Roses,31,3,34
Hall & Oates,4,1,5
Heart,4,1,5
Hootie & the Blowfish,2,1,3
Jason Mraz,10,1,11
Joan Jett & The Blackhearts,3,1,4
Joe Jackson,0,1,1
John Lennon,13,1,14
Johnny Cash,30,6,36
Journey,12,1,13
Juice Newton,0,1,1
Katrina And The Waves,0,1,1
Lady Gaga,10,6,16
Led Zeppelin,40,6,46
Linda Ronstadt,3,1,4
Linkin Park,53,1,54
Madness,2,1,3
Marianne Faithfull,0,1,1
Maroon 5,17,5,22
Marvin Gaye,2,1,3
Metallica,97,2,99
Michael Jackson,17,1,18
Mississippi John Hurt,2,1,3
Mudhoney,1,1,2
Neil Young,24,1,25
New Order,2,1,3
Nick Lowe,0,1,1
Nirvana,53,2,55
No Doubt,3,2,5
Noah Cyrus,0,1,1
Oasis,23,3,26
Olivia Rodrigo,8,1,9
Otis Redding,2,1,3
Ozzy Osbourne,21,1,22
Pearl Jam,15,4,19
Pink Floyd,59,5,64
Rage Against The Machine,5,2,7
Ramones,16,59,75
Red Hot Chili Peppers,51,8,59
Ritchie Valens,2,1,3
Rolling Stones,44,5,49
Roy Orbison,7,1,8
Rush,14,1,15
Smashing Pumpkins,26,2,28
Social Distortion,8,1,9
Sonic Youth,2,1,3
Steve Winwood,0,1,1
Stevie Ray Vaughan & Double Trouble,7,1,8
Stevie Wonder,5,3,8
Sublime,9,1,10
Suzanne Vega,1,1,2
The Allman Brothers Band,7,1,8
The Band,2,2,4
The Bangles,2,2,4
The Blues Brothers,2,3,5
The Buzzcocks,1,3,4
The Cure,9,4,13
The Guess Who,3,1,4
The J Geils Band,0,1,1
The Kinks,9,1,10
The Monkees,2,1,3
The Police,9,1,10
The Raconteurs,13,2,15
The Stooges,2,1,3
The Strokes,55,4,59
The Supremes,1,1,2
The Temptations,2,1,3
The Undertones,1,4,5
The Who,16,2,18
The Zombies,2,1,3
Tragically Hip,4,3,7
Van Halen,27,3,30
Van Morrison,5,1,6
Velvet Underground,4,7,11
ZZ Top,28,2,30
ALL CATALOG SONGS,13025,317,13342
