Song ID,Original artist,Approved artist,Original title,Approved title,Decision
1da3e1d549107def6d4f8e6abf3bc35528c2d1a236a61896ef55b3ccd0266fd7,AC|DC,AC DC,rock n roll singer,Rock N Roll Singer,Keep
aa25816fbb7dc3d81945b154b98d6fa0d151b95441ffe1857a58ce2112f815f5,AC|DC,AC DC,rock the blues away,Rock The Blues Away,Keep
22572e6825c207c15734c1c7ee94065499b437629bc9d1fff8364c35e98d1368,AC|DC,AC DC,shot in the dark,Shot In The Dark,Keep
e61cc2910349771868e7cfa5beffc5e3d77217a4d6429ee69485aa9359c0a034,AC|DC,AC DC,through the mists of time,Through The Mists Of Time,Keep
e67c5444278c4a1aa2e809e9d77f964fc0134f76202c429858fc8d7fb2573502,Alanis Morissette,Alanis Morissette,you oughta know,You Oughta Know,Keep
6cb6ec27fcb0b78bf5aaf3e15fbe3e6b308eae700d4c85a7b209199fc1883b74,Arctic Monkeys,Arctic Monkeys,dont forget whose legs youre on,Dont Forget Whose Legs Youre On,Keep
badaf92b95ff8a25294b3822237bfbcc027e8551442052675b192329bbea9122,Arctic Monkeys,Arctic Monkeys,library pictures,Library Pictures,Keep
da28bbd5f964cf9481b7b03107315ba2c8525e72df53806ac22394787bda9846,Arctic Monkeys,Arctic Monkeys,star treatment,Star Treatment,Keep
f17f0e7c1c44e0335a8366fe9d66cde68be3be72995d93f04e8f8df35fff3436,Arctic Monkeys,Arctic Monkeys,the ultracheese,The Ultracheese,Keep
1f6a469236656d0e776689d83563b33e8c0463567fdefada12d270f4c3fd7a05,Arctic Monkeys,Arctic Monkeys,the worlds first ever monster truck front flip,The Worlds First Ever Monster Truck Front Flip,Keep
f598cf44fa95aced82143220e05840fc1d2f3739eba659c4aa7c6f48d3a7b91b,Arctic Monkeys,Arctic Monkeys,too much to ask,Too Much To Ask,Keep
4538b50950e41548a17e31968f9f343b972229fa5811014fce3bca8820a2cfa7,Ariana Grande,Ariana Grande,dangerous woman,Dangerous Woman,Keep
70d1c09cc71d1c184d43f1261e2befafaf8ccaf0754b6124d5ffade73b8b89a3,Ariana Grande,Ariana Grande,demi lovato met him last night,Demi Lovato Met Him Last Night,Keep
29eda4f4d694b30944def7c0345c4f59c269a71a8fdfe330102211246d65a69f,Ariana Grande,Ariana Grande,everytime,Everytime,Keep
