"Artist","Current songs (verified 13,025 bank)","Proposed usable additions (pending owner decisions)","Net gain if all kept","Candidate rows","Selected scope"
"3 Doors Down","9","0","0","6","YES"
"38 Special","3","0","0","2","YES"
"4 Non Blondes","1","0","0","0","YES"
"A Flock of Seagulls","2","0","0","0","YES"
"A-Ha","2","0","0","1","YES"
"ABBA","23","0","0","4","YES"
"AC|DC","63","4","4","36","YES"
"Aimee Mann","1","0","0","0","YES"
"Alanis Morissette","2","1","1","1","YES"
"Alien Ant Farm","4","0","0","3","YES"
"Alison Krauss","1","0","0","0","YES"
"Allen Toussaint","0","0","0","0","YES"
"Amy Winehouse","8","0","0","1","YES"
"Archie Bell and the Drells","0","0","0","1","YES"
"Arctic Monkeys","79","6","6","11","YES"
"Aretha Franklin","4","0","0","0","YES"
"Ariana Grande","24","6","6","9","YES"
"Attila","13","0","0","0","YES"
"Audioslave","11","1","1","6","YES"
"Average White Band","0","0","0","1","YES"
"Avril Lavigne","25","1","1","5","YES"
"B.J. Thomas","2","0","0","0","YES"
"Backstreet Boys","2","1","1","1","YES"
"Bad Company","6","1","1","3","YES"
"Barenaked Ladies","1","2","2","7","YES"
"Beastie Boys","5","0","0","2","YES"
"Ben Folds Five","0","0","0","1","YES"
"Bill Withers","5","1","1","1","YES"
"Billie Joe Armstrong","2","0","0","0","YES"
"Billy Idol","4","1","1","2","YES"
"Billy Joel","13","0","0","3","YES"
"Billy Squier","2","1","1","1","YES"
"Blondie","6","0","0","0","YES"
"Blue Oyster Cult","0","0","0","3","YES"
"Blues Traveler","2","0","0","0","YES"
"Bob Dylan","28","2","2","4","YES"
"Bob Marley","8","4","4","10","YES"
"Bob Seger","1","0","0","1","YES"
"Bon Jovi","18","1","1","28","YES"
"Bonnie Raitt","2","0","0","0","YES"
"Bonnie Tyler","3","0","0","0","YES"
"Booker T The M G S","0","0","0","1","YES"
"Boston","12","0","0","1","YES"
"Brad Paisley","2","0","0","2","YES"
"Brandi Carlile","1","0","0","1","YES"
"Bread","6","0","0","1","YES"
"Brian Setzer","0","0","0","0","YES"
"Bruce Hornsby","1","0","0","0","YES"
"Bruce Springsteen","15","1","1","2","YES"
"Bryan Adams","9","2","2","3","YES"
"Buck Owens","0","1","1","1","YES"
"Buddy Guy","1","1","1","3","YES"
"Buddy Holly","19","0","0","0","YES"
"Buena Vista Social Club","0","0","0","5","YES"
"Buffalo Springfield","1","0","0","0","YES"
"Buggles","1","0","0","0","YES"
"Bush","5","0","0","4","YES"
"Butthole Surfers","0","1","1","1","YES"
"Cage The Elephant","26","3","3","4","YES"
"Cake","4","1","1","5","YES"
"Carole King","1","0","0","1","YES"
"Cat Stevens","10","0","0","8","YES"
"Champs","1","9","9","10","YES"
"Cheap Trick","3","1","1","1","YES"
"Chet Atkins","0","0","0","13","YES"
"Chic","1","1","1","2","YES"
"Chicago","3","0","0","2","YES"
"Chris De Burgh","0","0","0","1","YES"
"Chris Isaak","1","2","2","2","YES"
"Chris Stapleton","14","3","3","9","YES"
"Christmas","12","0","0","3","YES"
"Christopher Cross","2","0","0","0","YES"
"Christy Moore","0","1","1","1","YES"
"Chubby Checker","1","0","0","0","YES"
"Chuck Berry","7","1","1","1","YES"
"Cindy Lauper","0","0","0","0","YES"
"Coldplay","32","4","4","21","YES"
"Cole Porter","0","0","0","0","YES"
"Collective Soul","5","0","0","11","YES"
"Corey Hart","1","0","0","0","YES"
"Corinne Bailey Rae","3","0","0","0","YES"
"Counting Crows","4","0","0","1","YES"
"Coverdale & Page","0","0","0","1","YES"
"Crash Test Dummies","1","0","0","0","YES"
"Creedance Clearwater Revival","25","1","1","24","YES"
"Crosby Stills Nash","0","0","0","5","YES"
"Crosby Stills Nash Young","0","1","1","8","YES"
"Crowded House","4","1","1","1","YES"
"Culture Club","1","0","0","0","YES"
"Curtis Mayfield","1","0","0","0","YES"
"Cyndi Lauper","4","0","0","0","YES"
"Dave Matthews","0","0","0","23","YES"
"Deep Purple","10","1","1","46","YES"
"Def Leppard","15","1","1","11","YES"
"Del Amitri","1","0","0","0","YES"
"Del Shannon","1","0","0","1","YES"
"Depeche Mode","6","2","2","18","YES"
"Derek and the Dominos","1","0","0","3","YES"
"Devo","2","0","0","0","YES"
"Dexys Midnigth Runners","1","0","0","0","YES"
"Diana Ross","0","1","1","1","YES"
"Dick Dale","0","0","0","2","YES"
"Dinosaur Jr.","1","0","0","0","YES"
"Dion & The Belmonts","3","0","0","2","YES"
"Dolly Parton","1","2","2","3","YES"
"Don Henley","1","0","0","1","YES"
"Dropkick Murphys","2","0","0","1","YES"
"Earth Wind Fire","0","1","1","4","YES"
"Echo And The Bunnymen","2","0","0","1","YES"
"Eddie Money","1","2","2","2","YES"
"Elton John","17","1","1","5","YES"
"Elvis Costello","2","0","0","1","YES"
