"Row","Production artist","Song","Primary category","Disposition","Original queue status","Format","Chord symbols","Lyric events","Language check","Transpose failures","1–8 chord heuristic exceeded (not exclusion)","Basic chord heuristic mismatch (not exclusion)","Diagram gaps","Detailed reasons","Raw SHA-256","Source path"
"1","3 Doors Down","By My Side (2)","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","616e460b23698e197ede608c6733e00c2474e1a911000e0ba13dbdfb1bbc6e1c","GuitarPro_Tabs/3 Doors Down - By My Side (2).gp3"
"2","3 Doors Down","Duck And Run","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","af8f62beb8ee2972088330f00ee17cd8506dc26dd0b610a9782bb89543517270","GuitarPro_Tabs/3 Doors Down - Duck And Run.gp3"
"3","3 Doors Down","Going Down In Flames","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","160d88633eb3aa07aceb35566ab2856c9ec51e8560385a5a45a71d67ad3591a2","GuitarPro_Tabs/3 Doors Down - Going Down In Flames.gp3"
"4","3 Doors Down","Let me go","EXISTING_DUPLICATE","EXISTING","SKIPPED_ALREADY_CURRENT","gpx","6","344","ENGLISH_TEXT_CHECK_PASS","0","NO","NO","","Existing artist/song or title variant — leave current song unchanged","ba39cbc188782cae02363a4b2d9689fbee398c9c8829db220ae07095a323b811","Ultimate Guitar com PRO Tabs Site Rip GPX/0-9/3_doors_down_2057/3 Doors Down - Let Me Go.gpx"
"5","3 Doors Down","So I Need You","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","0472984687fc72349142cb25cf40d74a44924fc3e2c8a300c7b195e1acd8d29e","GuitarPro_Tabs/3 Doors Down - So I Need You.gp3"
"6","3 Doors Down","Ticket to Heaven","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp4","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","52d40e973079db873d554e0753484deae5750bf2e9d0aefc53ee675fc235ad6e","GuitarPro_Tabs/3 Doors Down - Ticket to Heaven.gp4"
"7","38 Special","Robin Hood","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","12","0","LANGUAGE_UNVERIFIED","67","YES","YES","","English lyrics not established from available text | Tab-only or empty extracted sheet | Exact locked transposer fails required round-trip or slash-bass preservation","7484b604d84c3403e68eafc48ecc4563782013f47c75488d4c7100a03fe22a28","GuitarPro_Tabs/38 Special - Robin Hood.gp3"
"8","38 Special","Rockin_' Into The Night","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","7","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | Tab-only or empty extracted sheet","ff28986e611880f328499d57383dc8f7747a81f223d4b7a8d7d2d7b89403d0c6","GuitarPro_Tabs/38 Special - Rockin_' Into The Night.gp3"
"9","A-Ha","The Living Daylights","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","0a267e9e095d29d1572b76b2bcd21c02632ca02a800073f456697881b3b59721","GuitarPro_Tabs/A-ha - The Living Daylights.gp3"
"10","ABBA","ABBA GOLD (medley pour orchestre)","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","May be a medley, fragment or exercise; full-song identity needs confirmation. | English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","25b680d0fe099d07ae0b1acf6cf823a670f6011584d8dfdf461d8ca23d478b7e","GuitarPro_Tabs/Abba - ABBA GOLD (medley pour orchestre).gp3"
"11","ABBA","Gimme! Gimme! Gimme!","EXISTING_DUPLICATE","EXISTING","PENDING_PARSE_AND_QA","gp4","10","0","LANGUAGE_UNVERIFIED","46","YES","YES","","Existing artist/song or title variant — leave current song unchanged | Possible existing song or alternate title: Abba — Gimme Gimme Gimme (A Man After Midnight) | English lyrics not established from available text | Tab-only or empty extracted sheet | Exact locked transposer fails required round-trip or slash-bass preservation","d246b023ca525cf7b7b3239f6d465badc845cb2f1e6222d690681ef43775a0eb","GuitarPro_Tabs/Abba - Gimme! Gimme! Gimme!.gp4"
"12","ABBA","Just Like That","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","99fd6a1a16e290c64d72ba0b19cc085e2182e0c57bb29fe127ff9ee6b1ce2987","GuitarPro_Tabs/Abba - Just Like That.gp3"
"13","ABBA","My Love My Life","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","2f077aa25e64628c27b39da49728ea42c988c539f0679ee0d116effdac8e8f76","GuitarPro_Tabs/Abba - My Love My Life.gp3"
"14","AC|DC","All Screwed Up","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","5480336f1fb5a947d4a5b4f02d09f4512ca6407ced28c75162eda3d362e7afea","GuitarPro_Tabs/ACDC - All Screwed Up.gp3"
"15","AC|DC","Bad Boy Boogie","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp4","1","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | Tab-only or empty extracted sheet","5caf4ab976c846634c58476744928059f4527edba333a2575d022d0a4a572e22","GuitarPro_Tabs/ACDC - Bad Boy Boogie.gp4"
"16","AC|DC","Bonny","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","7927a3067b94ee68491f013f184b73f58b96c38e50246e8137959f5e5092676d","GuitarPro_Tabs/ACDC - Bonny.gp3"
"17","AC|DC","Burnin ' Alive","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","2a7f663c661ac6d36d1c82b881d958503bb1a301ab920d12589c7fd23347938c","GuitarPro_Tabs/ACDC - Burnin ' Alive.gp3"
"18","AC|DC","Can 't Stand Still (2)","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp4","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","Similar proposed title also exists in this queue; choose at most one after identity review. | English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","02b972b5c411aee7562c92043791836f121eac30798d62c57cff4685fb93ff51","GuitarPro_Tabs/ACDC - Can 't Stand Still (2).gp4"
"19","AC|DC","Can 't Stand Still (Solo)","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp3","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","Parsed title disagrees with proposal title | May be a medley, fragment or exercise; full-song identity needs confirmation. | Similar proposed title also exists in this queue; choose at most one after identity review. | English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","b9377912fbe8a2eb63c73dfe490ba62b2eed02ddd0ccbd586b448e7c463f2199","GuitarPro_Tabs/ACDC - Can 't Stand Still (Solo).gp3"
"20","AC|DC","Classic Riffs","TAB_ONLY_OR_EMPTY","HOLD","PENDING_PARSE_AND_QA","gp4","0","0","LANGUAGE_UNVERIFIED","0","NO","NO","","Parsed title disagrees with proposal title | English lyrics not established from available text | No usable chord symbols in extracted sheet | Tab-only or empty extracted sheet","de5e1c29dfcc32145b8935c59c0f1fee3deeb91d10ad293e570d2146e16dd134","GuitarPro_Tabs/ACDC - Classic Riffs.gp4"
